,Class
6556,3
5684,3
10859,5
9612,4
2676,2
5145,3
2215,2
6673,3
4374,3
6326,3
8892,4
7074,3
3160,2
3602,3
10612,5
11558,5
9617,4
7348,4
5378,3
5156,3
2108,2
5140,3
8139,4
3107,2
11541,5
6243,3
7139,3
9992,5
8375,4
6319,3
8185,4
8167,4
5816,3
4439,3
3643,3
6810,3
7198,3
3508,3
7471,4
3717,3
2391,2
967,1
1178,1
214,1
6177,3
7337,4
1498,2
8290,4
10215,5
245,1
927,1
1285,2
3895,3
11517,5
4338,3
8822,4
8747,4
11476,5
9946,5
9729,4
2609,2
4845,3
3098,2
2390,2
11164,5
3745,3
9285,4
2648,2
613,1
3698,3
5937,3
8953,4
6145,3
2685,2
7075,3
10733,5
2425,2
5340,3
8242,4
1373,2
4948,3
2906,2
4398,3
3614,3
2144,2
1368,2
357,1
8657,4
4808,3
9500,4
6308,3
6025,3
1964,2
8431,4
1470,2
9754,4
562,1
6398,3
4533,3
11209,5
5503,3
2626,2
6750,3
3333,2
6664,3
1219,1
1160,1
9408,4
9100,4
8402,4
11303,5
5597,3
6011,3
10102,5
7840,4
9441,4
3989,3
6865,3
6975,3
3403,3
8460,4
14,1
2498,2
7013,3
7719,4
8900,4
2948,2
8830,4
3369,3
3649,3
11305,5
1453,2
10038,5
6714,3
7434,4
2039,2
2807,2
346,1
4984,3
8744,4
4466,3
8810,4
5236,3
304,1
9222,4
2167,2
700,1
7323,4
8608,4
6084,3
1213,1
5306,3
3944,3
5181,3
9088,4
1981,2
2174,2
424,1
8547,4
11328,5
8272,4
651,1
461,1
2271,2
11216,5
11528,5
9654,4
6817,3
11380,5
7728,4
764,1
2929,2
5886,3
4991,3
5709,3
7598,4
8359,4
673,1
47,1
10876,5
8086,4
101,1
5654,3
749,1
7769,4
10995,5
10289,5
9484,4
8779,4
6027,3
2020,2
9647,4
9187,4
5955,3
9813,5
4067,3
11208,5
200,1
3860,3
9648,4
5896,3
4929,3
10473,5
5459,3
8205,4
11438,5
4519,3
7764,4
5583,3
4754,3
2377,2
3914,3
5022,3
1978,2
7859,4
9262,4
6834,3
6884,3
9591,4
5909,3
6041,3
6507,3
1516,2
7105,3
3485,3
3617,3
8343,4
10044,5
2592,2
3181,2
4264,3
8934,4
9909,5
7109,3
533,1
6554,3
9694,4
9103,4
7914,4
3827,3
5220,3
2503,2
468,1
5087,3
9143,4
3059,2
2631,2
11012,5
8424,4
8626,4
