,android.intent.action.call,android.intent.action.delete,android.intent.action.dial,android.intent.action.insert,android.intent.action.main,android.intent.action.search,android.intent.action.send,android.intent.action.sendto,android.intent.action.view,android.intent.action.view,android.intent.category.default,android.intent.category.home,android.intent.category.launcher,android.intent.extra.bcc,android.intent.extra.cc,android.intent.extra.email,android.intent.extra.stream,android.intent.extra.subject,android.intent.extra.text,android.intent.extra.shortcut.intent,android.intent.extra.shortcut.name,com.google.android.c2dm.intent.receive,com.google.android.c2dm.intent.receive,com.google.android.c2dm.intent.register,com.google.android.c2dm.intent.registration,com.google.android.c2dm.intent.registration,com.google.android.c2dm.intent.unregister,android.intent.action.view,android.intent.action.view,android.permission.bluetooth,android.permission.camera,android.permission.internet,android.permission.vibrate,com.google.android.c2dm.intent.receive,com.google.android.c2dm.intent.receive,com.google.android.c2dm.intent.registration,com.google.android.c2dm.intent.registration,com.google.android.c2dm.permission.receive,android.intent.action.package_added,android.intent.action.package_added,android.intent.action.package_removed,num_intent_actions,num_third_part_permissions,android.permission.read_phone_state,android.permission.access_fine_location,android.permission.write_settings,android.permission.modify_audio_settings,android.permission.wake_lock,android.permission.record_audio,android.permission.access_network_state,android.permission.get_tasks,android.permission.access_coarse_location,android.permission.write_external_storage,num_permissions,android.intent.action.screen_on,android.intent.action.screen_on,android.intent.action.screen_off,android.intent.action.boot_completed,android.intent.action.boot_completed,android.permission.change_wifi_state,android.permission.access_wifi_state,android.intent.action.boot_completed,android.intent.action.boot_completed,android.permission.receive_boot_completed,android.intent.extra.shortcut.icon_resource,android.permission.bluetooth_admin,num_intent_action_other,com.android.browser.permission.read_history_bookmarks,android.permission.restart_packages,android.permission.kill_background_processes,android.permission.system_alert_window,android.permission.read_sms,android.permission.mount_unmount_filesystems,com.android.launcher.permission.install_shortcut,android.permission.read_logs,android.permission.write_contacts,android.permission.read_contacts,android.permission.call_phone,com.android.browser.permission.write_history_bookmarks,android.intent.action.user_present,android.intent.action.user_present,android.intent.action.package_added,android.intent.action.package_added,android.intent.action.user_present,android.intent.action.user_present,android.permission.change_network_state,android.intent.action.battery_changed,android.intent.action.battery_changed,android.permission.write_sms,android.intent.action.send_multiple,android.intent.extra.html_text,android.permission.disable_keyguard,android.permission.set_wallpaper,android.intent.action.phone_state,android.intent.action.screen_on,android.intent.action.screen_on,android.permission.read_external_storage,android.permission.access_location_extra_commands,android.intent.action.media_button,android.intent.extra.key_event,android.permission.get_accounts,android.permission.manage_accounts,android.permission.authenticate_accounts,android.permission.receive_sms,android.intent.action.battery_changed,android.intent.action.battery_changed,android.permission.send_sms,android.permission.change_configuration,android.permission.broadcast_sticky,android.permission.use_credentials,android.permission.read_sync_settings,android.intent.action.data_sms_received,android.intent.extra.referrer_name,android.permission.read_settings,num_intents_action_android,num_android_permissions
6556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1,1,0,0,0,6,2,1,0,0,0,1,0,0,0,0,1,9,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,7
5684,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1,1,0,0,0,6,2,1,0,0,0,1,0,0,0,0,1,9,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,7
10859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9612,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,9
2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
2215,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6673,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,1,0,0,1,11,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,10
4374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,6
6326,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,14,3,1,0,1,0,1,0,1,0,0,1,15,0,0,0,1,1,0,0,1,1,0,1,0,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,8,12
